instrument,style,timeframe,start_date,end_date,n_trades,win_rate,net_pnl,profit_factor,run_at
SOXX,position,1d,2024-07-06,2026-07-06,14,57.1,6727.04,3.318,2026-07-06T18:24:05Z
XBI,scalp,15m,2024-07-06,2026-07-06,46,45.7,-48.46,0.995,2026-07-06T18:24:07Z
XBI,intraday,1h,2024-07-06,2026-07-06,128,29.7,-10330.27,0.638,2026-07-06T18:24:11Z
XBI,swing,1d,2024-07-06,2026-07-06,32,65.6,7412.52,4.91,2026-07-06T18:24:21Z
XBI,position,1d,2024-07-06,2026-07-06,10,70.0,5030.92,7.911,2026-07-06T18:24:30Z
BTC/USD,scalp,15m,2024-07-06,2026-07-06,183,45.4,306.7,1.014,2026-07-06T18:24:48Z
BTC/USD,intraday,1h,2024-07-06,2026-07-06,108,40.7,2464.28,1.146,2026-07-06T18:25:05Z
BTC/USD,swing,1d,2024-07-06,2026-07-06,32,46.9,726.56,1.176,2026-07-06T18:25:07Z
BTC/USD,position,1d,2024-07-06,2026-07-06,9,44.4,1380.16,1.554,2026-07-06T18:25:08Z
ETH/USD,scalp,15m,2024-07-06,2026-07-06,198,40.9,-1429.37,0.941,2026-07-06T18:25:28Z
ETH/USD,intraday,1h,2024-07-06,2026-07-06,127,33.9,-3298.25,0.856,2026-07-06T18:25:48Z
ETH/USD,swing,1d,2024-07-06,2026-07-06,45,60.0,5170.33,1.955,2026-07-06T18:25:58Z
ETH/USD,position,1d,2024-07-06,2026-07-06,12,50.0,950.54,1.249,2026-07-06T18:25:59Z
SOL/USD,scalp,15m,2024-07-06,2026-07-06,199,42.7,-2805.87,0.901,2026-07-06T18:26:19Z
SOL/USD,intraday,1h,2024-07-06,2026-07-06,122,41.0,-1956.5,0.931,2026-07-06T18:26:37Z
SOL/USD,swing,1d,2024-07-06,2026-07-06,40,47.5,-114.97,0.985,2026-07-06T18:26:48Z
SOL/USD,position,1d,2024-07-06,2026-07-06,12,41.7,-2538.18,0.324,2026-07-06T18:26:49Z
BNB/USD,scalp,15m,2024-07-06,2026-07-06,191,43.5,3409.92,1.148,2026-07-06T18:27:06Z
BNB/USD,intraday,1h,2024-07-06,2026-07-06,110,37.3,2877.16,1.202,2026-07-06T18:27:26Z
BNB/USD,swing,1d,2024-07-06,2026-07-06,31,51.6,-155.49,0.959,2026-07-06T18:27:36Z
BNB/USD,position,1d,2024-07-06,2026-07-06,11,45.5,215.85,1.083,2026-07-06T18:27:37Z
XRP/USD,scalp,15m,2024-07-06,2026-07-06,243,43.6,1933.59,1.062,2026-07-06T18:27:54Z
XRP/USD,intraday,1h,2024-07-06,2026-07-06,139,36.7,-569.94,0.981,2026-07-06T18:28:12Z
XRP/USD,swing,1d,2024-07-06,2026-07-06,38,60.5,3508.67,1.788,2026-07-06T18:28:22Z
XRP/USD,position,1d,2024-07-06,2026-07-06,12,41.7,-933.2,0.721,2026-07-06T18:28:23Z
ADA/USD,scalp,15m,2024-07-06,2026-07-06,218,39.9,-895.53,0.972,2026-07-06T18:28:41Z
ADA/USD,intraday,1h,2024-07-06,2026-07-06,123,42.3,248.78,1.011,2026-07-06T18:28:59Z
ADA/USD,swing,1d,2024-07-06,2026-07-06,48,54.2,1267.72,1.178,2026-07-06T18:29:10Z
ADA/USD,position,1d,2024-07-06,2026-07-06,14,42.9,-1400.32,0.644,2026-07-06T18:29:11Z
AVAX/USD,scalp,15m,2024-07-06,2026-07-06,219,41.6,-1012.71,0.966,2026-07-06T18:29:28Z
AVAX/USD,intraday,1h,2024-07-06,2026-07-06,145,32.4,-6443.22,0.794,2026-07-06T18:29:48Z
AVAX/USD,swing,1d,2024-07-06,2026-07-06,44,63.6,668.76,1.114,2026-07-06T18:29:58Z
AVAX/USD,position,1d,2024-07-06,2026-07-06,13,46.2,-967.87,0.78,2026-07-06T18:29:59Z
DOGE/USD,scalp,15m,2024-07-06,2026-07-06,197,39.6,-3464.04,0.871,2026-07-06T18:30:51Z
DOGE/USD,intraday,1h,2024-07-06,2026-07-06,143,34.3,-1298.33,0.954,2026-07-06T18:31:14Z
DOGE/USD,swing,1d,2024-07-06,2026-07-06,46,58.7,391.68,1.065,2026-07-06T18:31:28Z
DOGE/USD,position,1d,2024-07-06,2026-07-06,12,33.3,-3146.13,0.379,2026-07-06T18:31:30Z
LINK/USD,scalp,15m,2024-07-06,2026-07-06,213,41.3,-429.92,0.985,2026-07-06T18:32:27Z
LINK/USD,intraday,1h,2024-07-06,2026-07-06,129,37.2,-2445.54,0.908,2026-07-06T18:32:48Z
LINK/USD,swing,1d,2024-07-06,2026-07-06,43,53.5,1190.05,1.172,2026-07-06T18:32:59Z
LINK/USD,position,1d,2024-07-06,2026-07-06,11,36.4,-136.4,0.957,2026-07-06T18:33:00Z
ARB/USD,scalp,15m,2024-07-06,2026-07-06,216,35.6,-5712.04,0.838,2026-07-06T18:33:27Z
ARB/USD,intraday,1h,2024-07-06,2026-07-06,129,41.1,4854.84,1.177,2026-07-06T18:33:49Z
ARB/USD,swing,1d,2024-07-06,2026-07-06,51,49.0,-560.16,0.941,2026-07-06T18:33:59Z
ARB/USD,position,1d,2024-07-06,2026-07-06,19,36.8,-1197.03,0.837,2026-07-06T18:34:01Z
SUI/USD,scalp,15m,2024-07-06,2026-07-06,217,38.7,-8428.32,0.762,2026-07-06T18:34:26Z
SUI/USD,intraday,1h,2024-07-06,2026-07-06,135,43.7,10766.28,1.38,2026-07-06T18:34:45Z
SUI/USD,swing,1d,2024-07-06,2026-07-06,51,47.1,-364.44,0.957,2026-07-06T18:34:55Z
SUI/USD,position,1d,2024-07-06,2026-07-06,15,33.3,-1553.92,0.722,2026-07-06T18:34:56Z
EUR/USD,scalp,15m,2024-07-06,2026-07-06,228,32.9,-7836.16,0.58,2026-07-06T19:57:58Z
EUR/USD,intraday,1h,2024-07-06,2026-07-06,189,40.2,-4194.64,0.824,2026-07-06T19:58:18Z
EUR/USD,swing,1d,2024-07-06,2026-07-06,28,57.1,18.3,1.008,2026-07-06T19:58:28Z
EUR/USD,position,1d,2024-07-06,2026-07-06,13,69.2,850.21,1.545,2026-07-06T19:58:38Z
GBP/USD,scalp,15m,2024-07-06,2026-07-06,220,31.8,-8271.76,0.542,2026-07-06T19:58:57Z
GBP/USD,intraday,1h,2024-07-06,2026-07-06,197,45.2,1805.76,1.078,2026-07-06T19:59:17Z
GBP/USD,swing,1d,2024-07-06,2026-07-06,36,50.0,433.81,1.149,2026-07-06T19:59:27Z
GBP/USD,position,1d,2024-07-06,2026-07-06,13,53.8,274.66,1.163,2026-07-06T19:59:37Z
TLT,scalp,15m,2024-07-06,2026-07-06,46,45.7,-768.52,0.869,2026-07-06T19:59:38Z
TLT,intraday,1h,2024-07-06,2026-07-06,164,33.5,-7042.04,0.732,2026-07-06T19:59:43Z
TLT,swing,1d,2024-07-06,2026-07-06,24,33.3,-4238.77,0.261,2026-07-06T19:59:53Z
TLT,position,1d,2024-07-06,2026-07-06,9,33.3,-861.78,0.674,2026-07-06T20:00:02Z
XLF,scalp,15m,2024-07-06,2026-07-06,49,24.5,-4739.75,0.407,2026-07-06T20:00:04Z
XLF,intraday,1h,2024-07-06,2026-07-06,143,32.9,-4324.39,0.845,2026-07-06T20:00:08Z
XLF,swing,1d,2024-07-06,2026-07-06,26,34.6,-2101.26,0.533,2026-07-06T20:00:24Z
XLF,position,1d,2024-07-06,2026-07-06,11,54.5,1942.01,2.151,2026-07-06T20:00:36Z
BTC/USD,scalp,15m,2024-07-06,2026-07-06,135,47.4,2747.9,1.193,2026-07-06T20:01:02Z
BTC/USD,intraday,1h,2024-07-06,2026-07-06,108,40.7,2464.28,1.146,2026-07-06T20:01:31Z
BTC/USD,swing,1d,2024-07-06,2026-07-06,32,46.9,726.56,1.176,2026-07-06T20:01:33Z
BTC/USD,position,1d,2024-07-06,2026-07-06,9,44.4,1380.16,1.554,2026-07-06T20:01:35Z
MSFT,scalp,15m,2024-07-06,2026-07-06,49,40.8,2871.43,1.34,2026-07-06T20:01:37Z
MSFT,intraday,1h,2024-07-06,2026-07-06,132,36.4,-424.67,0.984,2026-07-06T20:01:42Z
MSFT,swing,1d,2024-07-06,2026-07-06,33,57.6,4890.08,2.244,2026-07-06T20:01:54Z
MSFT,position,1d,2024-07-06,2026-07-06,12,50.0,2504.45,1.845,2026-07-06T20:02:06Z
EUR/USD,scalp,15m,2024-07-06,2026-07-06,123,30.9,-4972.96,0.582,2026-07-06T20:03:15Z
EUR/USD,intraday,1h,2024-07-06,2026-07-06,189,40.2,-4194.64,0.824,2026-07-06T20:03:37Z
EUR/USD,swing,1d,2024-07-06,2026-07-06,28,57.1,18.3,1.008,2026-07-06T20:03:48Z
EUR/USD,position,1d,2024-07-06,2026-07-06,13,69.2,850.21,1.545,2026-07-06T20:03:59Z
GBP/USD,scalp,15m,2024-07-06,2026-07-06,124,33.1,-4349.64,0.615,2026-07-06T20:04:27Z
GBP/USD,intraday,1h,2024-07-06,2026-07-06,197,45.2,1805.76,1.078,2026-07-06T20:04:46Z
GBP/USD,swing,1d,2024-07-06,2026-07-06,36,50.0,433.81,1.149,2026-07-06T20:04:57Z
GBP/USD,position,1d,2024-07-06,2026-07-06,13,53.8,274.66,1.163,2026-07-06T20:05:09Z
TLT,scalp,15m,2024-07-06,2026-07-06,42,40.5,-2145.53,0.625,2026-07-06T20:05:11Z
TLT,intraday,1h,2024-07-06,2026-07-06,164,33.5,-7042.04,0.732,2026-07-06T20:05:17Z
TLT,swing,1d,2024-07-06,2026-07-06,24,33.3,-4238.77,0.261,2026-07-06T20:05:29Z
TLT,position,1d,2024-07-06,2026-07-06,9,33.3,-861.78,0.674,2026-07-06T20:05:40Z
XLF,scalp,15m,2024-07-06,2026-07-06,43,27.9,-4177.45,0.386,2026-07-06T20:05:42Z
XLF,intraday,1h,2024-07-06,2026-07-06,143,32.9,-4324.39,0.845,2026-07-06T20:05:48Z
XLF,swing,1d,2024-07-06,2026-07-06,26,34.6,-2101.26,0.533,2026-07-06T20:05:59Z
XLF,position,1d,2024-07-06,2026-07-06,11,54.5,1942.01,2.151,2026-07-06T20:06:10Z
BTC/USD,scalp,15m,2024-07-06,2026-07-06,135,47.4,2747.9,1.193,2026-07-06T20:06:33Z
BTC/USD,intraday,1h,2024-07-06,2026-07-06,108,40.7,2464.28,1.146,2026-07-06T20:06:53Z
BTC/USD,swing,1d,2024-07-06,2026-07-06,32,46.9,726.56,1.176,2026-07-06T20:06:55Z
BTC/USD,position,1d,2024-07-06,2026-07-06,9,44.4,1380.16,1.554,2026-07-06T20:06:56Z
